iter	Passed	Remaining
462	836	970
463	838	968
464	839	966
465	841	964
466	843	962
467	844	960
468	846	958
469	848	956
470	849	954
471	851	952
472	852	950
473	854	948
474	855	945
475	857	943
476	858	941
477	860	939
478	861	937
479	863	935
480	864	932
481	867	932
482	869	930
483	871	928
484	872	926
485	874	925
486	876	923
487	878	921
488	879	919
489	881	917
490	882	915
491	884	913
492	885	910
493	887	908
494	889	907
495	891	905
496	893	903
497	894	902
498	896	900
499	897	897
500	899	895
501	901	893
502	903	892
503	905	890
504	907	889
505	909	887
506	911	885
507	912	884
508	914	882
509	916	880
510	917	878
511	919	875
512	920	874
513	922	872
514	923	870
515	925	868
516	926	865
517	928	863
518	929	861
519	931	859
520	933	857
521	935	856
522	937	855
523	939	853
524	941	851
525	942	849
526	944	847
527	945	845
528	947	843
529	949	842
530	951	840
531	953	838
532	954	836
533	956	834
534	957	832
535	959	830
536	961	828
537	963	827
538	964	824
539	966	822
540	967	820
541	969	818
542	970	817
543	972	815
544	973	813
545	975	811
546	977	809
547	978	807
548	980	805
549	982	804
550	984	802
551	985	800
552	987	798
553	989	796
554	990	794
555	992	792
556	993	790
557	995	788
558	997	786
559	998	784
560	1000	782
561	1002	781
562	1003	779
563	1005	777
564	1006	775
565	1008	773
566	1010	771
567	1012	769
568	1013	767
569	1015	766
570	1017	764
571	1018	762
572	1020	760
573	1021	758
574	1023	756
575	1025	754
576	1026	752
577	1028	750
578	1030	749
579	1032	747
580	1033	745
581	1035	743
582	1037	741
583	1038	740
584	1040	738
585	1042	736
586	1043	734
587	1045	732
588	1046	730
589	1048	728
590	1049	726
591	1051	724
592	1052	722
593	1054	720
594	1056	718
595	1057	717
596	1059	715
597	1061	713
598	1062	711
599	1064	709
600	1066	708
601	1069	706
602	1071	705
603	1072	703
604	1074	701
605	1076	699
606	1077	697
607	1079	695
608	1080	693
609	1082	692
610	1084	690
611	1085	688
612	1087	686
613	1088	684
614	1090	682
615	1092	680
616	1093	678
617	1095	676
618	1096	675
619	1098	673
620	1099	671
621	1101	669
622	1102	667
623	1104	665
624	1106	663
625	1107	661
626	1109	659
627	1111	658
628	1112	656
629	1114	654
630	1117	653
631	1118	651
632	1120	649
633	1121	647
634	1123	645
635	1124	643
636	1126	641
637	1127	639
638	1129	637
639	1130	636
640	1132	634
641	1134	632
642	1135	630
643	1137	628
644	1138	626
645	1140	624
646	1141	622
647	1143	621
648	1145	619
649	1147	617
650	1148	615
651	1150	613
652	1151	612
653	1153	610
654	1155	608
655	1156	606
656	1158	604
657	1159	602
658	1162	601
659	1163	599
660	1165	597
661	1167	596
662	1168	594
663	1170	592
664	1171	590
665	1173	588
666	1176	587
667	1178	585
668	1179	583
669	1181	581
670	1182	580
671	1184	578
672	1186	576
673	1187	574
674	1189	572
675	1191	571
676	1193	569
677	1194	567
678	1196	565
679	1198	563
680	1200	562
681	1201	560
682	1203	558
683	1204	556
684	1207	555
685	1209	553
686	1210	551
687	1212	549
688	1213	547
689	1215	546
690	1216	544
691	1218	542
692	1220	540
693	1222	538
694	1224	537
695	1225	535
696	1227	533
697	1229	531
698	1230	529
699	1232	528
700	1233	526
701	1235	524
702	1237	522
703	1239	520
704	1240	519
705	1242	517
706	1244	515
707	1245	513
708	1247	512
709	1249	510
710	1251	508
711	1253	507
712	1255	505
713	1256	503
714	1258	501
715	1260	499
716	1261	498
717	1263	496
718	1265	494
719	1267	492
720	1269	491
721	1271	489
722	1273	487
723	1274	485
724	1276	484
725	1277	482
726	1279	480
727	1281	478
728	1283	477
729	1285	475
730	1286	473
731	1288	471
732	1289	469
733	1291	467
734	1292	466
735	1294	464
736	1296	462
737	1298	460
738	1300	459
739	1302	457
740	1304	455
741	1305	454
742	1307	452
743	1308	450
744	1310	448
745	1311	446
746	1313	444
747	1314	442
748	1316	441
749	1317	439
750	1319	437
751	1320	435
752	1322	433
753	1324	431
754	1325	430
755	1327	428
756	1329	426
757	1331	424
758	1332	423
759	1334	421
760	1335	419
761	1337	417
762	1339	415
763	1341	414
764	1342	412
765	1344	410
766	1345	408
767	1347	407
768	1349	405
769	1350	403
770	1352	401
771	1353	399
772	1356	398
773	1359	396
774	1360	395
775	1362	393
776	1364	391
777	1365	389
778	1367	387
779	1369	386
780	1370	384
781	1372	382
782	1374	380
783	1375	379
784	1377	377
785	1379	375
786	1380	373
787	1382	371
788	1384	370
789	1386	368
790	1388	366
791	1390	365
792	1391	363
793	1393	361
794	1395	359
795	1396	357
796	1398	356
797	1400	354
798	1403	352
799	1405	351
800	1407	349
801	1408	347
802	1411	346
803	1413	344
804	1416	343
805	1418	341
806	1420	339
807	1422	337
808	1424	336
809	1425	334
810	1427	332
811	1429	331
812	1431	329
813	1434	327
814	1435	325
815	1437	324
816	1439	322
817	1441	320
818	1443	318
819	1445	317
820	1447	315
821	1449	313
822	1451	312
823	1452	310
824	1454	308
825	1455	306
826	1457	304
827	1458	303
828	1460	301
829	1461	299
830	1463	297
831	1465	295
832	1467	294
833	1468	292
834	1470	290
835	1471	288
836	1473	286
837	1474	285
838	1476	283
839	1478	281
840	1480	279
841	1481	278
842	1483	276
843	1485	274
844	1487	272
845	1488	270
846	1490	269
847	1491	267
848	1493	265
849	1495	263
850	1497	262
851	1498	260
852	1500	258
853	1501	256
854	1503	254
855	1505	253
856	1506	251
857	1509	249
858	1510	247
859	1512	246
860	1514	244
861	1515	242
862	1516	240
863	1518	239
864	1520	237
865	1522	235
866	1524	233
867	1525	232
868	1527	230
869	1529	228
870	1530	226
871	1532	224
872	1533	223
873	1535	221
874	1536	219
875	1538	217
876	1540	216
877	1541	214
878	1543	212
879	1545	210
880	1546	208
881	1548	207
882	1550	205
883	1551	203
884	1553	201
885	1555	200
886	1557	198
887	1559	196
888	1560	194
889	1562	193
890	1563	191
891	1565	189
892	1567	187
893	1568	186
894	1570	184
895	1571	182
896	1573	180
897	1575	178
898	1576	177
899	1578	175
900	1579	173
901	1581	171
902	1582	170
903	1584	168
904	1585	166
905	1587	164
906	1588	162
907	1589	161
908	1591	159
909	1593	157
910	1594	155
911	1595	153
912	1597	152
913	1600	150
914	1601	148
915	1603	147
916	1605	145
917	1607	143
918	1608	141
919	1610	140
920	1611	138
921	1613	136
922	1615	134
923	1617	133
924	1618	131
925	1620	129
926	1621	127
927	1623	125
928	1625	124
929	1626	122
930	1628	120
931	1629	118
932	1631	117
933	1633	115
934	1635	113
935	1637	111
936	1638	110
937	1640	108
938	1641	106
939	1643	104
940	1645	103
941	1647	101
942	1648	99
943	1650	97
944	1651	96
945	1652	94
946	1654	92
947	1655	90
948	1657	89
949	1659	87
950	1662	85
951	1664	83
952	1665	82
953	1667	80
954	1669	78
955	1670	76
956	1673	75
957	1675	73
958	1677	71
959	1678	69
960	1680	68
961	1682	66
962	1683	64
963	1685	62
964	1687	61
965	1688	59
966	1690	57
967	1692	55
968	1693	54
969	1695	52
970	1696	50
971	1698	48
972	1699	47
973	1701	45
974	1703	43
975	1705	41
976	1706	40
977	1708	38
978	1710	36
979	1712	34
980	1713	33
981	1715	31
982	1716	29
983	1718	27
984	1720	26
985	1722	24
986	1724	22
987	1726	20
988	1727	19
989	1729	17
990	1731	15
991	1733	13
992	1734	12
993	1736	10
994	1738	8
995	1739	6
996	1741	5
997	1742	3
998	1744	1
999	1746	0
